,obs,pred,prediction,Names
126,1,1.0,1.0,active38
127,1,1.0,1.0,active4
128,1,1.0,1.0,active40
129,1,1.0,1.0,active41
130,1,1.0,1.0,active42
131,1,1.0,1.0,active43
132,1,1.0,1.0,active45
133,1,1.0,1.0,active46
134,1,1.0,1.0,active47
135,1,1.0,1.0,active48
136,1,1.0,1.0,active5
137,1,1.0,1.0,active50
138,1,1.0,1.0,active52
139,1,1.0,1.0,active54
140,1,1.0,1.0,active55
141,1,1.0,1.0,active56
142,1,1.0,1.0,active58
143,1,1.0,1.0,active59
144,1,1.0,1.0,active6
145,1,1.0,1.0,active60
146,1,1.0,1.0,active61
147,1,1.0,1.0,active63
148,1,1.0,1.0,active65
149,1,1.0,1.0,active67
150,1,1.0,1.0,active69
151,1,1.0,1.0,active71
152,1,1.0,1.0,active73
153,1,1.0,1.0,active74
154,1,1.0,1.0,active75
155,1,1.0,1.0,active76
156,1,1.0,1.0,active78
157,1,1.0,1.0,active79
158,1,1.0,1.0,active8
159,1,1.0,1.0,active83
160,1,1.0,1.0,active85
161,1,1.0,1.0,active86
162,1,1.0,1.0,active88
163,1,1.0,1.0,active89
164,1,1.0,1.0,active91
165,1,1.0,1.0,active92
166,1,1.0,1.0,active94
167,1,1.0,1.0,active98
168,1,1.0,1.0,active99
169,0,1.0,1.0,decoys1151
170,0,1.000518e-17,0.0,decoys1152
171,0,2.7101334e-15,0.0,decoys1153
172,0,1.2595892e-22,0.0,decoys1154
173,0,6.2999527e-22,0.0,decoys1155
174,0,6.8074115e-20,0.0,decoys1156
175,0,8.08795e-20,0.0,decoys1157
176,0,2.0396366e-24,0.0,decoys1158
177,0,2.3408397e-15,0.0,decoys1159
178,0,2.7605944e-22,0.0,decoys1160
179,0,1.0978939e-18,0.0,decoys1161
180,0,9.03385e-20,0.0,decoys1162
181,0,3.0180487e-15,0.0,decoys1163
182,0,1.1132026e-18,0.0,decoys1164
183,0,7.115981e-19,0.0,decoys1165
184,0,2.2597788e-20,0.0,decoys1166
185,0,5.8209493e-22,0.0,decoys1167
186,0,6.9037187e-15,0.0,decoys1168
187,0,6.647632e-22,0.0,decoys1169
188,0,1.2801346e-19,0.0,decoys1170
189,0,5.861322e-23,0.0,decoys1171
190,0,5.449242e-15,0.0,decoys1172
191,0,6.675999e-20,0.0,decoys1173
192,0,2.4867583e-23,0.0,decoys1174
193,0,3.313208e-17,0.0,decoys1175
194,0,1.00274776e-20,0.0,decoys1176
195,0,1.6910569e-20,0.0,decoys1177
196,0,5.332343e-21,0.0,decoys1178
197,0,4.3909073e-19,0.0,decoys1179
198,0,4.0854755e-19,0.0,decoys1180
199,0,1.4091684e-20,0.0,decoys1181
200,0,1.6790706e-18,0.0,decoys1182
201,0,1.09453896e-20,0.0,decoys1183
202,0,1.6095324e-24,0.0,decoys1184
203,0,1.62201e-21,0.0,decoys1185
204,0,8.886506e-19,0.0,decoys1186
205,0,8.360647e-21,0.0,decoys1187
206,0,3.398657e-24,0.0,decoys1188
207,0,1.5676607e-16,0.0,decoys1189
208,0,3.5864947e-16,0.0,decoys1190
209,0,3.1718755e-16,0.0,decoys1191
210,0,4.4839097e-16,0.0,decoys1192
211,0,1.3192082e-21,0.0,decoys1193
212,0,5.132957e-21,0.0,decoys1194
213,0,4.83629e-17,0.0,decoys1195
214,0,8.41396e-19,0.0,decoys1196
215,0,5.3942958e-20,0.0,decoys1197
216,0,1.2824907e-19,0.0,decoys1198
217,0,4.1625847e-22,0.0,decoys1199
218,0,4.434606e-19,0.0,decoys1200
219,0,2.583047e-17,0.0,decoys1285
220,0,3.5044267e-14,0.0,decoys1406
221,0,3.2626428e-06,0.0,decoys1415
222,0,1.6219456e-13,0.0,decoys1434
223,0,1.5547494e-12,0.0,decoys1442
224,0,2.880636e-13,0.0,decoys1524
225,0,2.252804e-15,0.0,decoys1533
226,0,4.307501e-06,0.0,decoys1534
227,0,3.468261e-13,0.0,decoys1535
228,0,4.1111957e-06,0.0,decoys1536
229,0,1.20561625e-11,0.0,decoys1769
230,0,0.000119735734,0.0,decoys1778
231,0,2.7861563e-07,0.0,decoys1782
232,0,3.4878271e-15,0.0,decoys1785
233,0,2.1562553e-06,0.0,decoys1788
234,0,4.084873e-09,0.0,decoys1791
235,0,2.7678692e-07,0.0,decoys1805
236,0,7.651025e-15,0.0,decoys1807
237,0,5.946161e-14,0.0,decoys1810
238,0,2.9085823e-10,0.0,decoys1814
239,0,1.7399324e-19,0.0,decoys1816
240,0,2.377919e-16,0.0,decoys1817
241,0,8.166278e-16,0.0,decoys1818
242,0,2.2961843e-16,0.0,decoys1819
243,0,1.5029647e-16,0.0,decoys1820
244,0,1.1678876e-16,0.0,decoys1821
245,0,1.1619284e-16,0.0,decoys1823
246,0,1.123663e-12,0.0,decoys1824
247,0,1.1273426e-12,0.0,decoys1825
248,0,3.0177772e-19,0.0,decoys1827
249,0,4.7504216e-11,0.0,decoys1828
250,0,7.7633046e-11,0.0,decoys1833
251,0,1.1260691e-14,0.0,decoys1834
252,0,2.4297069e-17,0.0,decoys1837
253,0,7.8504115e-15,0.0,decoys1838
254,0,2.3716747e-18,0.0,decoys1840
255,0,4.7565733e-13,0.0,decoys1841
256,0,1.2929051e-14,0.0,decoys1842
257,0,1.0755262e-17,0.0,decoys1843
258,0,2.2882286e-11,0.0,decoys1845
259,0,6.414321e-20,0.0,decoys1846
260,0,1.25507755e-08,0.0,decoys1847
261,0,2.1332473e-21,0.0,decoys1850
262,0,5.2136995e-10,0.0,decoys1901
263,0,1.0674186e-14,0.0,decoys1909
264,0,4.319461e-12,0.0,decoys1916
265,0,3.0324462e-18,0.0,decoys1932
266,0,2.3705646e-16,0.0,decoys1934
267,0,4.9355997e-14,0.0,decoys1937
268,0,3.2753268e-13,0.0,decoys1938
269,0,6.293841e-07,0.0,decoys1941
270,0,1.7931184e-14,0.0,decoys1953
271,0,3.3650832e-20,0.0,decoys1965
272,0,1.4076218e-19,0.0,decoys2080
273,0,1.3886008e-15,0.0,decoys2087
274,0,9.068296e-15,0.0,decoys2096
275,0,3.5948564e-09,0.0,decoys2271
276,0,1.0601573e-17,0.0,decoys2272
277,0,6.942166e-16,0.0,decoys2287
278,0,7.735475e-18,0.0,decoys2301
279,0,9.645337e-17,0.0,decoys2303
280,0,2.0202462e-17,0.0,decoys2305
281,0,9.501574e-22,0.0,decoys2307
282,0,4.962887e-19,0.0,decoys2308
283,0,1.7574065e-22,0.0,decoys2311
284,0,1.948412e-12,0.0,decoys2313
285,0,1.6283371e-17,0.0,decoys2314
286,0,2.462731e-13,0.0,decoys2315
287,0,3.5732864e-14,0.0,decoys2316
288,0,7.859427e-16,0.0,decoys2317
289,0,1.4106664e-16,0.0,decoys2321
290,0,1.9765587e-17,0.0,decoys2322
291,0,1.06866945e-14,0.0,decoys2323
292,0,6.3556385e-15,0.0,decoys2324
293,0,1.5008628e-15,0.0,decoys2326
294,0,9.811123e-21,0.0,decoys2327
295,0,5.023244e-20,0.0,decoys2328
296,0,2.9572027e-15,0.0,decoys2329
297,0,4.498365e-18,0.0,decoys2330
298,0,2.8716776e-17,0.0,decoys2331
299,0,1.9012866e-18,0.0,decoys2332
300,0,2.1137228e-16,0.0,decoys2335
301,0,2.963377e-13,0.0,decoys2336
302,0,3.606976e-14,0.0,decoys2339
303,0,5.966866e-20,0.0,decoys2345
304,0,5.4408835e-18,0.0,decoys2346
305,0,1.1676509e-17,0.0,decoys2453
306,0,3.5391041e-12,0.0,decoys257
307,0,6.178728e-17,0.0,decoys259
308,0,4.8906127e-13,0.0,decoys2597
309,0,7.8925625e-13,0.0,decoys2598
310,0,7.868224e-14,0.0,decoys260
311,0,2.0766972e-13,0.0,decoys261
312,0,4.5398708e-13,0.0,decoys262
313,0,2.520814e-18,0.0,decoys283
314,0,1.4940925e-07,0.0,decoys285
315,0,2.2582112e-08,0.0,decoys286
316,0,7.8800627e-13,0.0,decoys287
317,0,3.278592e-07,0.0,decoys288
318,0,1.2929137e-06,0.0,decoys290
319,0,1.5981662e-15,0.0,decoys292
320,0,5.454902e-14,0.0,decoys295
321,0,2.2339907e-18,0.0,decoys301
322,0,4.5154765e-12,0.0,decoys302
323,0,2.2103536e-10,0.0,decoys303
324,0,1.2329079e-07,0.0,decoys305
325,0,3.6565004e-12,0.0,decoys3063
326,0,7.788268e-14,0.0,decoys3073
327,0,8.3061975e-20,0.0,decoys3075
328,0,8.209342e-14,0.0,decoys3079
329,0,3.4235257e-15,0.0,decoys3084
330,0,7.0717173e-13,0.0,decoys3085
331,0,6.651683e-13,0.0,decoys3089
332,0,5.3545202e-21,0.0,decoys3091
333,0,1.3763278e-13,0.0,decoys3095
334,0,1.8473327e-15,0.0,decoys310
335,0,1.1446091e-15,0.0,decoys318
336,0,6.682256e-12,0.0,decoys324
337,0,2.2366254e-18,0.0,decoys325
338,1,0.99999404,1.0,Aspirin_ad_minimize
339,1,0.99984765,1.0,Atorvastatin_ad_minimize
340,1,1.0,1.0,CRILVASTATIN_ct_minimize
341,1,1.0,1.0,Cerivastatin_ad_minimize
342,1,1.0,1.0,Fluvastatin_ad_minimize
343,1,1.0,1.0,LAROPIPRANT_ad_minimize
344,1,1.0,1.0,Lovastatin_ad_minimize
345,1,1.0,1.0,PITAVASTATINCALCIUM_ad_minimize
346,1,1.0,1.0,Pravastatin_ad_minimize
347,1,1.0,1.0,Rosuvastatin_ad_minimize
348,1,1.0,1.0,Simvastatin_ad_minimize
349,1,1.0,1.0,TOCOTRIENOL_ad_minimize
350,1,1.0,1.0,Teriflunomide_ad_minimize
